id,sender,event_type,height,initial_claimable_amount,claimable_at_event,amount_claimed,lost_amount
972,evmos1022g0rlmhlkn9p4gvppc2gqzd4sh2kj5d8zd7m,ACTION_IBC_TRANSFER,4527471,2.954444241950395e+20,2.954444241950395e+20,1.491697284419865e+19,5.894413320456122e+19
471,evmos1079srp3whaakp6r7724fvmwws9f3n3nfjajnvy,ACTION_IBC_TRANSFER,1111120,4.47657631443472e+20,4.47657631443472e+20,4.39069803940542e+19,6.800742746681381e+19
690,evmos1083la8vqvknjgv57dxj03x3x87qvlees77gxnz,ACTION_IBC_TRANSFER,2904726,4.47657631443472e+20,4.47657631443472e+20,8.860862807445637e+19,2.330577978641164e+19
1002,evmos10am02d9m0drtwl7djjgza860ptmp292ts0pwp3,ACTION_IBC_TRANSFER,4842631,1.8353001633417147e+20,1.8353001633417147e+20,5.211196107203159e+18,4.067130797633971e+19
755,evmos10g3g4uycze6230vjcr7lehgqgxf2633fkd5yl6,ACTION_IBC_TRANSFER,3389683,1.11914407860868e+20,1.11914407860868e+20,2.1214434552222736e+19,6.764167412994265e+18
998,evmos10qjhnahyjrgr95fdlcemu2tfa0adczwamve70v,ACTION_IBC_TRANSFER,4796364,1.8353001633417147e+20,1.8353001633417147e+20,4.705678285310253e+18,4.117682579823261e+19
678,evmos10sy50ns5avy3503cmxkypmdha750ece93y3nwt,ACTION_IBC_TRANSFER,2823239,1.8353001633417147e+20,1.8353001633417147e+20,3.765808434170428e+19,8.22441974183859e+18
677,evmos10tz7yzlnrjd7fk4zfk79gwfvylh2cmnd6cezp0,ACTION_IBC_TRANSFER,2823223,1.8353001633417147e+20,1.8353001633417147e+20,3.765835128199776e+19,8.22415280154511e+18
805,evmos10vsuvyr35xhg8rmldedhdw3c049ce6gcvlwhrf,ACTION_IBC_TRANSFER,3715654,1.8353001633417147e+20,1.8353001633417147e+20,2.2761107567436804e+19,2.3121396516106064e+19
916,evmos10xrn4xpc2xmhwk2z7zchsuf2egeyftdq4s5n4g,ACTION_IBC_TRANSFER,4303471,1.8353001633417147e+20,1.8353001633417147e+20,1.3803872067304647e+19,3.2078632016238223e+19
1019,evmos120qdcpq3v5a4cnmh9sqt3ucfe3ypygyj8vxcxp,ACTION_IBC_TRANSFER,5019687,1.8353001633417147e+20,1.8353001633417147e+20,1.0061962131696224e+18,4.487630787037325e+19
773,evmos122px9309au4yrz4s4dfqe9fdw8jc9rleaf8784,ACTION_IBC_TRANSFER,3534619,1.8353001633417147e+20,1.8353001633417147e+20,3.0076172915834343e+19,1.5806331167708525e+19
787,evmos123gr5vsux9qr3mudg08fad74gl9td8n7c9kr9l,ACTION_IBC_TRANSFER,3622429,2.23828815721736e+20,2.23828815721736e+20,4.160619756386224e+19,1.4351006366571766e+19
800,evmos129ng4zyy8t9j8vxtl9mt40dkdndu77yqel2h8w,ACTION_IBC_TRANSFER,3673126,1.8353001633417147e+20,1.8353001633417147e+20,2.3489573372273943e+19,2.2392930711268925e+19
803,evmos12gc404g69cahykmzseeu8kd7l622kwvgfrugwz,ACTION_IBC_TRANSFER,3697589,4.073588320559075e+20,4.073588320559075e+20,6.081537644550518e+19,4.1024331568471695e+19
1018,evmos12lecvaqgtmdwwn0l77xlyfe6njgracel3dqtwy,ACTION_IBC_TRANSFER,4996216,2.954444241950395e+20,2.954444241950395e+20,2.3972737441012403e+18,7.146383230465864e+19
936,evmos12pff0pykgnu2785csc3sm6e9m4tw9ttwe2utaj,ACTION_IBC_TRANSFER,4370312,1.11914407860868e+20,1.11914407860868e+20,7.130996247821695e+18,2.084760571739531e+19
607,evmos12qymcs2xerhudrty080zehwp4wpz854cv4f7kv,ACTION_IBC_TRANSFER,2529828,1.8353001633417147e+20,1.8353001633417147e+20,4.2516794584744485e+19,3.365709498798383e+18
525,evmos12rfq8su7fqrwk92tqjpkkkm87fwgg5fty47yq5,ACTION_IBC_TRANSFER,1154691,2.23828815721736e+20,2.23828815721736e+20,5.266476570863292e+19,3.292438221801087e+18
610,evmos12ya43x7xjc36a4dgjucxp2saxld9lcanu6r69g,ACTION_IBC_TRANSFER,2532935,1.11914407860868e+20,1.11914407860868e+20,2.752676751840049e+19,4.5183444681650995e+17
707,evmos12yka2ux5h9f449sfjthlqvldu5rtrdxh9fss2y,ACTION_IBC_TRANSFER,2966641,1.8353001633417147e+20,1.8353001633417147e+20,3.6665093063330677e+19,9.217411020212191e+18
939,evmos12zau6ktz0sft0p58dzarhkn3tez4dvrgnyrh02,ACTION_IBC_TRANSFER,4389159,1.8353001633417147e+20,1.8353001633417147e+20,1.1818671298914669e+19,3.40638327846282e+19
727,evmos12zwq8pcmmgwsl95rueqsf65avfg5zcj09nk948,ACTION_IBC_TRANSFER,3118756,2.23828815721736e+20,2.23828815721736e+20,3.999469753913864e+19,1.596250639129536e+19
403,evmos134esptuc8mdzyzyqvtjr7t7nxnnvhdy22g8t7a,ACTION_IBC_TRANSFER,282752,1.8353001633417147e+20,1.8353001633417147e+20,3.540251104506048e+19,1.0479993038482387e+19
354,evmos135c82rgh2s5g36cepsv6r3s87dgp0dmr6ww9q6,ACTION_IBC_TRANSFER,275355,5.752304438472096e+20,5.752304438472096e+20,1.2994854622962873e+20,1.3859064732173664e+19
355,evmos135c82rgh2s5g36cepsv6r3s87dgp0dmr6ww9q6,ACTION_IBC_TRANSFER,275355,5.752304438472096e+20,5.752304438472096e+20,1.0876802369668797e+20,3.5039587265114423e+19
333,evmos136nhnujpsnvfxq70sx8guw2xt8ujqyjxl76zex,ACTION_IBC_TRANSFER,275297,1.8353001633417147e+20,1.8353001633417147e+20,3.717598567381473e+19,8.706518409728139e+18
735,evmos13ez6d0m7yyf4p44hyh44vajsmcn2ua8pea3dj7,ACTION_IBC_TRANSFER,3211311,2.954444241950395e+20,2.954444241950395e+20,6.33055100837309e+19,1.0555595965028975e+19
812,evmos13m9ufjrw3u6392htmumgr5vnrur8zvc2wtm6nj,ACTION_IBC_TRANSFER,3750232,2.23828815721736e+20,2.23828815721736e+20,3.2718523942426214e+19,2.323867998800779e+19
594,evmos13n5tzqln5dwg847wq3nzz7p56mplus3h35pudq,ACTION_IBC_TRANSFER,2473387,1.8353001633417147e+20,1.8353001633417147e+20,4.347633475590551e+19,2.4061693276373565e+18
779,evmos13nlwny9nat3ur3uv9vvhhdwdaes4jjfmd5njl4,ACTION_IBC_TRANSFER,3592085,3.3574322358260407e+20,3.3574322358260407e+20,7.385580620022941e+19,1.0079999695421604e+19
785,evmos13pmqv0rwrm26s20luchhem5ka27jux0ppjd50q,ACTION_IBC_TRANSFER,3611874,1.8353001633417147e+20,1.8353001633417147e+20,2.8169270157139976e+19,1.7713233926402892e+19
895,evmos13pygtv349s6eu696768cawshr5qty97vd9ehgg,ACTION_IBC_TRANSFER,4166026,1.8353001633417147e+20,1.8353001633417147e+20,1.7006863184572592e+19,2.8875640898970276e+19
680,evmos13w3k3w7e8mn7rrucplcrexfdfjhn3a3vapvfcd,ACTION_IBC_TRANSFER,2827437,5.1927323991677554e+20,5.1927323991677554e+20,1.0779835204419415e+20,2.2019957934999732e+19
965,evmos142cvja70pevjxuhnr2fzlsanhtwaurd0x7jqca,ACTION_IBC_TRANSFER,4478734,3.3574322358260407e+20,3.3574322358260407e+20,1.9446578109033185e+19,6.448922778661783e+19
966,evmos1435a940k7jkhczeh3wl88euk6juz3nmrqlc7e7,ACTION_IBC_TRANSFER,4478740,1.8353001633417147e+20,1.8353001633417147e+20,3.949254964445042e+19,6.389954439092445e+18
405,evmos146pswec9pylhgfl0d6up9pqnxjm4g564lmp03v,ACTION_IBC_TRANSFER,282800,1.8353001633417147e+20,1.8353001633417147e+20,3.539992043492757e+19,1.0482583648615297e+19
930,evmos1479jzt3wdht9jwj8c6en5v8sa5z8ls8vae8c8x,ACTION_IBC_TRANSFER,4348276,1.8353001633417147e+20,1.8353001633417147e+20,1.2065713704131615e+19,3.381679037941125e+19
524,evmos1479umqs4rfqnr0469r8vctht7awyvrq998aedm,ACTION_IBC_TRANSFER,1154336,2.23828815721736e+20,2.23828815721736e+20,5.4331400960049504e+19,1.6258029703844987e+18
761,evmos1494scn822ampqe77evffw3tsftjdtd4wteqdcz,ACTION_IBC_TRANSFER,3414816,2.23828815721736e+20,2.23828815721736e+20,3.79541819287952e+19,1.8003022001638801e+19
151,evmos14az9egm485sm4p40kv7d2qt3nylx8pyz74sz6k,ACTION_IBC_TRANSFER,274517,2.23828815721736e+20,2.23828815721736e+20,4.371341079252218e+19,1.2243793137911824e+19
990,evmos14dgqgdflzts3dw70p3rhwr8lumxx9fmk7yvayc,ACTION_IBC_TRANSFER,4654108,1.8353001633417147e+20,1.8353001633417147e+20,8.49404130631071e+18,3.7388462777232155e+19
626,evmos14krrnr9h7zlsg4emkdnj7tq8ppk367jz67prtn,ACTION_IBC_TRANSFER,2600067,4.073588320559075e+20,4.073588320559075e+20,1.0117531715482809e+20,6.643908591487877e+17
731,evmos14l56776a6qj2rzmw8pgp557a4d9tjnkqxdn3w2,ACTION_IBC_TRANSFER,3154353,2.954444241950395e+20,2.954444241950395e+20,5.495316438671387e+19,1.8907941662046003e+19
59,evmos14nswgasu2xv5erw7787lqrnhetefwevaf7pzkf,ACTION_IBC_TRANSFER,274161,1.8353001633417147e+20,1.8353001633417147e+20,3.723987344579038e+19,8.642630637752492e+18
777,evmos14pyndg9qmsaz70f5qm5uhupvg27hhh5j8hzs7z,ACTION_IBC_TRANSFER,3562529,1.11914407860868e+20,1.11914407860868e+20,1.729648209204245e+19,1.068211987317455e+19
851,evmos14t7m4h4z0yv0hdzrfnugk4h4dtmnyuhpfpwd27,ACTION_IBC_TRANSFER,4018517,1.8353001633417147e+20,1.8353001633417147e+20,1.9037111536309977e+19,2.684539254723289e+19
947,evmos14wk67383mf73whw7xpzuerfagq8jr2elcmftwh,ACTION_IBC_TRANSFER,4428132,1.8353001633417147e+20,1.8353001633417147e+20,1.4593083798859344e+19,3.1289420284683526e+19
835,evmos14wr06udes6xp089ehxlyuh8md77v4ztv32j4yu,ACTION_IBC_TRANSFER,3890294,5.1927323991677554e+20,5.1927323991677554e+20,5.601434397003781e+19,7.380396600915608e+19
435,evmos154qs88c9n5zezulfvqkdgtvns0srpt83cxxxhm,ACTION_IBC_TRANSFER,286147,1.8353001633417147e+20,1.8353001633417147e+20,3.6572664884869812e+19,9.309839198673056e+18
762,evmos155nvaatu9w7efd86455kzxs9wjjq63zx98tdxu,ACTION_IBC_TRANSFER,3420767,3.3574322358260407e+20,3.3574322358260407e+20,5.277336282450278e+19,3.1162443071148237e+19
